SLOPSAND1,AVGP
0.000236,0.0322580645161
0.000814,0.0645161290323
0.001298,0.0967741935484
0.001987,0.129032258065
0.002208,0.161290322581
0.002512,0.193548387097
0.003671,0.225806451613
0.003832,0.258064516129
0.004024,0.290322580645
0.005205,0.322580645161
0.005946,0.354838709677
0.006312,0.387096774194
0.006957,0.41935483871
0.007041,0.451612903226
0.007469,0.483870967742
0.008385,0.516129032258
0.008739,0.548387096774
0.009106,0.58064516129
0.010425,0.612903225806
0.010937,0.645161290323
0.013455,0.677419354839
0.013469,0.709677419355
0.014301,0.741935483871
0.017581,0.774193548387
0.021661,0.806451612903
0.022674,0.838709677419
0.024233,0.870967741935
0.0251,0.903225806452
0.026381,0.935483870968
0.031024,0.967741935484
0.050733,1.0
