SLOPSTRD0,AVGP
0.005012,0.010101010101
0.008367,0.020202020202
0.009677,0.030303030303
0.010988,0.040404040404
0.011671,0.0505050505051
0.011873,0.0606060606061
0.012523,0.0707070707071
0.014524,0.0808080808081
0.014671,0.0909090909091
0.015849,0.10101010101
0.017224,0.111111111111
0.01758,0.121212121212
0.017635,0.131313131313
0.018845,0.141414141414
0.019372,0.151515151515
0.019472,0.161616161616
0.019878,0.171717171717
0.019885,0.181818181818
0.020776,0.191919191919
0.020788,0.20202020202
0.020902,0.212121212121
0.022809,0.222222222222
0.022957,0.232323232323
0.023241,0.242424242424
0.023751,0.252525252525
0.023958,0.262626262626
0.024201,0.272727272727
0.025412,0.282828282828
0.025642,0.292929292929
0.02565,0.30303030303
0.026052,0.313131313131
0.026508,0.323232323232
0.026643,0.333333333333
0.028216,0.343434343434
0.028258,0.353535353535
0.028979,0.363636363636
0.028997,0.373737373737
0.029146,0.383838383838
0.029995,0.393939393939
0.030602,0.40404040404
0.030807,0.414141414141
0.030959,0.424242424242
0.031808,0.434343434343
0.032622,0.444444444444
0.033138,0.454545454545
0.033163,0.464646464646
0.033675,0.474747474747
0.034633,0.484848484848
0.035019,0.494949494949
0.035044,0.505050505051
0.03551,0.515151515152
0.035667,0.525252525253
0.035707,0.535353535354
0.035872,0.545454545455
0.035923,0.555555555556
0.035934,0.565656565657
0.036733,0.575757575758
0.03694,0.585858585859
0.036972,0.59595959596
0.037046,0.606060606061
0.037138,0.616161616162
0.037258,0.626262626263
0.037319,0.636363636364
0.037569,0.646464646465
0.038465,0.656565656566
0.038885,0.666666666667
0.039339,0.676767676768
0.03959,0.686868686869
0.039784,0.69696969697
0.039954,0.707070707071
0.040492,0.717171717172
0.040587,0.727272727273
0.040645,0.737373737374
0.042659,0.747474747475
0.0427,0.757575757576
0.04273,0.767676767677
0.043453,0.777777777778
0.043749,0.787878787879
0.045238,0.79797979798
0.046002,0.808080808081
0.04616,0.818181818182
0.052895,0.828282828283
0.054468,0.838383838384
0.055858,0.848484848485
0.056115,0.858585858586
0.056262,0.868686868687
0.056961,0.878787878788
0.057906,0.888888888889
0.058087,0.89898989899
0.059661,0.909090909091
0.060581,0.919191919192
0.062701,0.929292929293
0.065716,0.939393939394
0.06824,0.949494949495
0.073664,0.959595959596
0.075012,0.969696969697
0.086133,0.979797979798
0.103818,0.989898989899
0.19791,1.0
